"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"CU","2021-04-28","74.0","1.33","6.33","Kershaw, Clayton",519058,477132,,"swinging_strike",,,,,"13","Mike Moustakas lines out sharply to second baseman Chris Taylor.","R","L","L","LAD","CIN","S",,,"0","1",2021,"-0.45","-1.22","-0.37","0.06",,,,"1","7","Top",,,,,"605131",,,-2.673826150896048,-107.71496246796845,-3.3591168163830067,-2.9680774140908444,19.897867988716044,-41.20312210536197,"3.37","1.53",,,,"73.5","2518","6.1",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.45",,,,,,,,"49","2","Curveball","2","0","0","2","0","2","0","2","Infield shift","Standard","338","0","-0.039"
"SL","2021-04-28","88.6","1.66","6.16","Kershaw, Clayton",519058,477132,,"called_strike",,,,,"4","Mike Moustakas lines out sharply to second baseman Chris Taylor.","R","L","L","LAD","CIN","S",,,"0","0",2021,"-0.37","0.81","-0.58","2.51",,,,"1","7","Top",,,,,"605131",,,-4.666818645201129,-129.0699165686626,-4.599057682596939,-3.3047882807354907,24.392211975555817,-22.34355677729603,"3.59","1.64",,,,"88.6","2721","6",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.47",,,,,,,,"49","1","Slider","2","0","0","2","0","2","0","2","Infield shift","Standard","206","0","-0.026"
"CU","2021-04-28","73.3","1.4","6.44","Kershaw, Clayton",553993,477132,"field_out","hit_into_play",,,,,"5","Eugenio Suarez flies out to right fielder Luke Raley.","R","R","L","LAD","CIN","X","9","fly_ball","0","1",2021,"-0.6","-1.4","-0.08","2.21",,,,"0","7","Top",165.36,135.68,,,"605131",,,-1.939747362384399,-106.64708822239776,1.296970531939414,-4.168853924938439,21.040266285590928,-43.263360750192035,"3.32","1.51","188","80.0","56","72.4","2574","5.9",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.57","0.04","0.045","0","1","0","0","3","48","2","Curveball","2","0","0","2","0","2","0","2","Infield shift","Standard","345","0.033","-0.209"
"SL","2021-04-28","86.4","1.67","6.3","Kershaw, Clayton",553993,477132,,"swinging_strike",,,,,"7","Eugenio Suarez flies out to right fielder Luke Raley.","R","R","L","LAD","CIN","S",,,"0","0",2021,"-0.58","1.01","-0.58","1.60",,,,"0","7","Top",,,,,"605131",,,-4.179154106105138,-125.68522935871809,-7.0452172717576556,-5.339770992220797,23.84394108450786,-20.262397742525245,"3.32","1.51",,,,"86.1","2767","6",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.51",,,,,,,,"48","1","Slider","2","0","0","2","0","2","0","2","Infield shift","Standard","192","0","-0.042"
"CU","2021-04-28","75.7","1.05","6.28","Kershaw, Clayton",458015,477132,"field_out","hit_into_play",,,,,"13","Joey Votto grounds out, third baseman Justin Turner to first baseman Max Muncy.","R","L","L","LAD","CIN","X","5","ground_ball","1","2",2021,"-0.56","-1.16","-0.73","1.05",,,"669222","2","6","Top",141.71,135.75,,,"605131",,,-2.703657024524119,-110.16042431845239,-1.661385307790213,-3.9959492156118412,21.6652342150866,-41.441551059157646,"3.47","1.59","125","74.8","12","75.4","2733","6.3",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.22","0.377","0.339","0","1","0","0","4","42","4","Curveball","2","0","0","2","0","2","0","2","Infield shift","Strategic","349","0.03","-0.174"
"SL","2021-04-28","87.8","1.43","6.2","Kershaw, Clayton",458015,477132,,"foul",,,,,"4","Joey Votto grounds out, third baseman Justin Turner to first baseman Max Muncy.","R","L","L","LAD","CIN","S",,,"1","1",2021,"-0.47","0.77","-0.47","2.24",,,"669222","2","6","Top",,,,,"605131",,,-3.6207549402920485,-127.86121720349034,-5.1269956620855375,-4.519133193670084,24.400015161143504,-22.845165601958783,"3.47","1.59","233","79.1","40","88.2","2643","6.3",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.2",,,,,,,,"42","3","Slider","2","0","0","2","0","2","0","2","Infield shift","Standard","205","0","-0.057"
"CU","2021-04-28","75.2","1.06","6.39","Kershaw, Clayton",458015,477132,,"ball",,,,,"12","Joey Votto grounds out, third baseman Justin Turner to first baseman Max Muncy.","R","L","L","LAD","CIN","B",,,"0","1",2021,"-0.24","-1.39","0.35","3.96",,,"669222","2","6","Top",,,,,"605131",,,-1.0433407880040342,-109.31444003316686,4.596995355027574,-1.7295846451173136,20.607848353782185,-44.34992105659965,"3.49","1.62",,,,"74.7","2676","6.1",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.36",,,,,,,,"42","2","Curveball","2","0","0","2","0","2","0","2","Infield shift","Standard","334","0","0.023"
"FF","2021-04-28","90.7","1.42","6.13","Kershaw, Clayton",458015,477132,,"called_strike",,,,,"8","Joey Votto grounds out, third baseman Justin Turner to first baseman Max Muncy.","R","L","L","LAD","CIN","S",,,"0","0",2021,"0.36","1.82","-0.25","1.94",,,"669222","2","6","Top",,,,,"605131",,,-4.937015942970421,-131.85117211946675,-8.434464190036401,5.2323369289003026,27.78342906741069,-9.37559523286936,"3.51","1.67",,,,"90.7","2475","6.3",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.16",,,,,,,,"42","1","4-Seam Fastball","2","0","0","2","0","2","0","2","Infield shift","Standard","175","0","-0.041"
"SL","2021-04-28","88.0","1.24","6.2","Kershaw, Clayton",592206,477132,"strikeout","swinging_strike",,,,,"13","Nick Castellanos strikes out swinging.","R","R","L","LAD","CIN","S","2",,"0","2",2021,"-0.49","0.74","-0.44","1.49",,,"669222","1","6","Top",,,,,"605131",,,-3.08775984016013,-128.23327495876887,-6.9709528707156965,-4.904414389180325,22.434497560022212,-22.842713635455507,"3.55","1.63",,,,"88.6","2684","6.3",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.25",,,"0","1","0","0",,"41","3","Slider","2","0","0","2","0","2","0","2","Infield shift","Standard","213","0.039","-0.19"
"CU","2021-04-28","75.0","0.97","6.4","Kershaw, Clayton",592206,477132,,"swinging_strike",,,,,"14","Nick Castellanos strikes out swinging.","R","R","L","LAD","CIN","S",,,"0","1",2021,"-0.29","-1.51","0.91","2.53",,,"669222","1","6","Top",,,,,"605131",,,0.38052583750457847,-109.14968103190428,1.9261425564356134,-2.337490193534656,21.843025184420643,-44.76591192287404,"3.55","1.63",,,,"74.5","2676","6.2",634365,477132,"605131","571970","621035","457759","666158","572041","605141","670042","54.26",,,,,,,,"41","2","Curveball","2","0","0","2","0","2","0","2","Infield shift","Standard","337","0","-0.059"
