"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2021-04-29","99.8","0.72","6.2","Chapman, Aroldis",602104,547973,,"foul",,,,,"5","Ramon Urias strikes out swinging.","R","R","L","BAL","NYY","S",,,"0","0",2021,"0.58","1.47","0.14","2.16",,,,"2","9","Bot",,,,,"596142",,,-3.020651359940622,-144.98962980540475,-9.269335826396471,8.959653833242665,35.15765069308769,-9.399296700897727,"3.37","1.53","255","76.5","36","101","2595","7.1",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.38",,,,,,,,"75","1","4-Seam Fastball","3","3","3","3","3","3","3","3","Standard","Standard","155","0","-0.017"
"FF","2021-04-29","99.6","0.88","6.15","Chapman, Aroldis",621466,547973,"strikeout","called_strike",,,,,"9","DJ Stewart called out on strikes.","R","L","L","BAL","NYY","S","2",,"3","2",2021,"0.52","1.52","0.40","1.70",,,,"1","9","Bot",,,,,"596142",,,-2.605454986890246,-144.7387877530578,-10.516726843177846,7.967422829634032,35.26422860735755,-8.541709753923682,"3.1","1.43",,,,"101.1","2574","7.3",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.23",,,"0","1","0","0",,"74","7","4-Seam Fastball","3","3","3","3","3","3","3","3","Infield shift","Standard","156","-0.044","-0.208"
"FF","2021-04-29","101.8","0.73","6.09","Chapman, Aroldis",621466,547973,,"ball",,,,,"13","DJ Stewart called out on strikes.","R","L","L","BAL","NYY","B",,,"2","2",2021,"0.42","1.61","-0.66","1.16",,,,"1","9","Bot",,,,,"596142",,,-4.998043901645886,-147.6258478023738,-12.569469710392065,7.343257075311081,37.200064482637835,-5.779160194259145,"3.08","1.41",,,,"103.2","2587","7.4",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.12",,,,,,,,"74","6","4-Seam Fastball","3","3","3","3","3","3","3","3","Infield shift","Standard","152","0","0.06"
"FF","2021-04-29","99.9","0.92","6.16","Chapman, Aroldis",621466,547973,,"foul",,,,,"4","DJ Stewart called out on strikes.","R","L","L","BAL","NYY","S",,,"2","2",2021,"0.35","1.42","-0.41","2.59",,,,"1","9","Bot",,,,,"596142",,,-4.549013909367269,-145.2954740534727,-7.928952378365242,5.893451926633562,30.90335813538559,-10.453752908797519,"3.37","1.53","129","85.7","8","101.6","2451","7",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.47",,,,,,,,"74","5","4-Seam Fastball","3","3","3","3","3","3","3","3","Infield shift","Standard","154","0","0"
"FF","2021-04-29","98.3","0.71","6.21","Chapman, Aroldis",621466,547973,,"swinging_strike",,,,,"4","DJ Stewart called out on strikes.","R","L","L","BAL","NYY","S",,,"2","1",2021,"0.36","1.41","-0.44","2.39",,,,"1","9","Bot",,,,,"596142",,,-4.048801756377568,-142.99203570608216,-8.338362774588632,5.808146895887369,30.12539328178845,-11.134216382702242,"3.37","1.53",,,,"100.4","2372","7.3",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.21",,,,,,,,"74","4","4-Seam Fastball","3","3","3","3","3","3","3","3","Infield shift","Standard","156","0","-0.047"
"SL","2021-04-29","86.6","0.65","6.27","Chapman, Aroldis",621466,547973,,"ball",,,,,"14","DJ Stewart called out on strikes.","R","L","L","BAL","NYY","B",,,"1","1",2021,"-0.98","0.11","0.38","0.80",,,,"1","9","Bot",,,,,"596142",,,1.386868229462665,-126.01777747519859,-7.214422935896306,-10.773476679603096,25.45443138848555,-29.759740733968393,"3.17","1.5",,,,"88.4","2429","7.4",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.08",,,,,,,,"74","3","Slider","3","3","3","3","3","3","3","3","Standard","Standard","296","0","0.033"
"FF","2021-04-29","97.3","0.65","6.13","Chapman, Aroldis",621466,547973,,"swinging_strike",,,,,"11","DJ Stewart called out on strikes.","R","L","L","BAL","NYY","S",,,"1","0",2021,"0.22","1.45","-0.90","2.85",,,,"1","9","Bot",,,,,"596142",,,-4.704206162153516,-141.5989078201905,-6.719071765454384,3.964770465255564,32.14541904346809,-11.365880947771949,"3.37","1.53",,,,"98.8","2375","7.1",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.41",,,,,,,,"74","2","4-Seam Fastball","3","3","3","3","3","3","3","3","Standard","Standard","159","0","-0.033"
"SL","2021-04-29","85.1","0.78","6.32","Chapman, Aroldis",621466,547973,,"ball",,,,,"12","DJ Stewart called out on strikes.","R","L","L","BAL","NYY","B",,,"0","0",2021,"-1.2","0.15","0.95","3.26",,,,"1","9","Bot",,,,,"596142",,,2.8416483129666545,-123.98909750064091,-1.2024059597569123,-12.917831769748101,24.380687467390338,-30.58804218358109,"3.13","1.54",,,,"86.6","2416","7.2",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.33",,,,,,,,"74","1","Slider","3","3","3","3","3","3","3","3","Standard","Standard","287","0","0.027"
"SI","2021-04-29","101.2","0.57","6.33","Chapman, Aroldis",663624,547973,"strikeout","swinging_strike",,,,,"6","Ryan Mountcastle strikes out swinging.","R","R","L","BAL","NYY","S","2",,"1","2",2021,"1.02","1.45","0.64","2.55",,,,"0","9","Bot",,,,,"596142",,,-2.287615572595392,-147.19331273692174,-8.827362623825515,15.406949623962017,34.06433620722122,-9.275168124300597,"3.55","1.63",,,,"103","2473","7.2",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","53.26",,,"0","1","0","0",,"73","7","Sinker","3","3","3","3","3","3","3","3","Standard","Standard","163","-0.057","-0.18"
"FS","2021-04-29","89.3","0.62","6.18","Chapman, Aroldis",663624,547973,,"foul",,,,,"9","Ryan Mountcastle strikes out swinging.","R","R","L","BAL","NYY","S",,,"1","2",2021,"-0.22","0.22","0.38","2.19",,,,"0","9","Bot",,,,,"596142",,,-0.13954586809793634,-130.06838224257174,-4.3352823268024885,-2.4882721109511117,29.32504996153946,-28.896404189545503,"3.55","1.63",,,,"91.2","1050","7.6",634300,547973,"596142","645801","518934","570482","650402","458731","543305","642180","52.92",,,,,,,,"73","6","Split-Finger","3","3","3","3","3","3","3","3","Standard","Standard","286","0","0"
