"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"EP","2021-04-16","46.3","-1.85","6.3","Astudillo, Willians",664058,553902,"field_out","hit_into_play",,,,,"1","David Fletcher lines out to third baseman Josh Donaldson.","R","R","R","LAA","MIN","X","5","line_drive","0","0",2021,"-0.58","1.46","-0.71","3.35",,,,"2","8","Bot",89.56,157.3,,,"641598",,,2.0259098941019276,-66.99980287415569,6.093638634036578,-1.976978252293392,7.105170436133797,-28.640089997662262,"3.29","1.49","140","93.6","8","44.9","1119","4.8",634526,553902,"641598","593934","650333","518626","595375","664247","595909","596146","55.65","0.531","0.478","0","1","0","0","4","68","1","Eephus","10","3","10","3","3","10","10","3","Infield shift","Standard","206","0","-0.101"
"EP","2021-04-16","43.7","-1.38","6.13","Astudillo, Willians",650859,553902,"field_out","hit_into_play",,,,,"11","Luis Rengifo grounds out, third baseman Josh Donaldson to first baseman Miguel Sano.","R","L","R","LAA","MIN","X","5","ground_ball","1","2",2021,"-0.53","1.61","-1.11","3.83",,,,"1","8","Bot",111.97,156.06,,,"641598",,,0.8476048929277256,-62.89727823680041,8.000752639776996,-1.5010826553535073,6.815514963120539,-29.019787110539042,"3.32","1.51","12","84.1","-15","42.6","891","5.6",634526,553902,"641598","593934","650333","518626","595375","664247","595909","596146","54.87","0.123","0.131","0","1","0","0","2","67","4","Eephus","10","3","10","3","3","10","10","3","Infield shift","Strategic","208","0","-0.104"
"CH","2021-04-16","72.5","-1.83","6.24","Astudillo, Willians",650859,553902,,"called_strike",,,,,"7","Luis Rengifo grounds out, third baseman Josh Donaldson to first baseman Miguel Sano.","R","L","R","LAA","MIN","S",,,"1","1",2021,"-0.57","1.68","-0.79","2.32",,,,"1","8","Bot",,,,,"641598",,,2.9782192178387494,-105.49438584966335,-3.2238660721341432,-4.741051479676717,18.62608283306196,-19.304471830453785,"3.8","1.79",,,,"70.9","1760","5.1",634526,553902,"641598","593934","650333","518626","595375","664247","595909","596146","55.37",,,,,,,,"67","3","Changeup","10","3","10","3","3","10","10","3","Infield shift","Strategic","206","0","-0.04"
"EP","2021-04-16","42.2","-1.65","6.58","Astudillo, Willians",650859,553902,,"ball",,,,,"11","Luis Rengifo grounds out, third baseman Josh Donaldson to first baseman Miguel Sano.","R","L","R","LAA","MIN","B",,,"0","1",2021,"-0.29","2.01","-1.48","5.05",,,,"1","8","Bot",,,,,"641598",,,0.46177811936428803,-60.44868912009217,8.935914492509838,-0.763030084509186,6.322504262818604,-28.427967510489434,"3.32","1.51",,,,"40.2","1021","4.6",634526,553902,"641598","593934","650333","518626","595375","664247","595909","596146","55.92",,,,,,,,"67","2","Eephus","10","3","10","3","3","10","10","3","Infield shift","Strategic","186","0","0.016"
"EP","2021-04-16","46.0","-1.95","6.36","Astudillo, Willians",650859,553902,,"called_strike",,,,,"5","Luis Rengifo grounds out, third baseman Josh Donaldson to first baseman Miguel Sano.","R","L","R","LAA","MIN","S",,,"0","0",2021,"-0.4","1.69","0.16","2.81",,,,"1","8","Bot",,,,,"641598",,,2.998022053102562,-66.55539439077788,5.289673823654448,-1.5205050864846976,7.514322121302873,-28.004817597606927,"3.71","1.66",,,,"44.4","1171","4.7",634526,553902,"641598","593934","650333","518626","595375","664247","595909","596146","55.79",,,,,,,,"67","1","Eephus","10","3","10","3","3","10","10","3","Infield shift","Strategic","203","0","-0.027"
"EP","2021-04-16","59.0","-1.83","6.34","Astudillo, Willians",435559,553902,"field_out","hit_into_play",,,,,"5","Kurt Suzuki lines out to third baseman Josh Donaldson.","R","R","R","LAA","MIN","X","5","line_drive","1","0",2021,"-0.66","1.66","0.07","2.23",,,,"0","8","Bot",88.15,162.17,,,"641598",,,3.8890453238273457,-85.90211882721914,0.07299964596325137,-3.786078750392896,11.863114035043813,-24.19846595400719,"3.32","1.51","134","85.8","11","57.4","1450","4.8",634526,553902,"641598","593934","650333","518626","595375","664247","595909","596146","55.75","0.649","0.63","0","1","0","0","4","66","2","Eephus","10","3","10","3","3","10","10","3","Infield shift","Standard","207","0","-0.266"
"EP","2021-04-16","51.4","-1.78","6.47","Astudillo, Willians",435559,553902,,"ball",,,,,"14","Kurt Suzuki lines out to third baseman Josh Donaldson.","R","R","R","LAA","MIN","B",,,"0","0",2021,"-0.7","1.83","1.26","2.02",,,,"0","8","Bot",,,,,"641598",,,4.990517224203031,-74.5929628024112,1.950530539594931,-3.243161571016614,9.526407176334605,-25.885191248863386,"3.29","1.42",,,,"49.7","1287","4.7",634526,553902,"641598","593934","650333","518626","595375","664247","595909","596146","55.79",,,,,,,,"66","1","Eephus","10","3","10","3","3","10","10","3","Infield shift","Standard","209","0","0.041"
