"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2021-04-14","83.8","-2.23","5.86","Maeda, Kenta",502110,628317,,"swinging_strike",,,,,"14","J.D. Martinez strikes out swinging.","R","R","R","MIN","BOS","S",,,"0","1",2021,"-0.27","0.58","0.60","1.40",,"624414",,"2","4","Top",,,,,"680777",,,7.002280733630376,-121.86623035925605,-5.020116572133704,-3.994873013734938,22.048018436482995,-25.639746340317775,"3.49","1.6",,,,"83.3","2599","5.8",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.67",,,,,,,,"35","2","Slider","2","3","3","2","3","2","3","2","Standard","Standard","185","0","-0.077"
"SI","2021-04-14","89.2","-2.15","5.92","Maeda, Kenta",502110,628317,,"called_strike",,,,,"6","J.D. Martinez strikes out swinging.","R","R","R","MIN","BOS","S",,,"0","0",2021,"-1.48","0.92","0.67","2.35",,"624414",,"2","4","Top",,,,,"680777",,,9.933162876330206,-129.5475253779599,-4.653176457218465,-18.68316973969626,26.272931866875275,-20.953599949043078,"3.53","1.6",,,,"88.4","2271","5.9",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.64",,,,,,,,"35","1","Sinker","2","3","3","2","3","2","3","2","Standard","Standard","215","0","-0.051"
"CH","2021-04-14","84.0","-2.18","5.98","Maeda, Kenta",657077,628317,"field_out","hit_into_play",,,,,"4","Alex Verdugo grounds out softly, pitcher Kenta Maeda to first baseman Willians Astudillo.","R","L","R","MIN","BOS","X","1","ground_ball","0","1",2021,"-1.39","0.92","-0.64","2.23",,"624414",,"1","4","Top",129.67,182.9,,,"680777",,,6.252435912202256,-122.11663487906893,-4.086001069810812,-15.128233708412168,23.923158900328833,-22.347007385038346,"3.37","1.53","1","57.8","-67","83.2","1467","5.8",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.68","0.231","0.216","0","1","0","0","1","34","2","Changeup","2","3","3","2","3","2","3","2","Infield shift","Standard","236","0.037","-0.277"
"FF","2021-04-14","88.9","-2.38","5.86","Maeda, Kenta",657077,628317,,"called_strike",,,,,"7","Alex Verdugo grounds out softly, pitcher Kenta Maeda to first baseman Willians Astudillo.","R","L","R","MIN","BOS","S",,,"0","0",2021,"-0.98","1.65","-0.79","1.92",,"624414",,"1","4","Top",,,,,"680777",,,5.87121204633738,-129.26681437851784,-6.990497988031601,-12.168220757603764,27.064274686586607,-12.430029946456223,"3.34","1.53",,,,"88","2155","5.8",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.74",,,,,,,,"34","1","4-Seam Fastball","2","3","3","2","3","2","3","2","Infield shift","Standard","211","0","-0.045"
"SL","2021-04-14","81.7","-2.38","5.78","Maeda, Kenta",624414,628317,"double","hit_into_play",,,,,"9","Christian Arroyo doubles (5) on a line drive to left fielder Alex Kirilloff.","R","R","R","MIN","BOS","X","7","line_drive","0","0",2021,"-0.04","0.53","0.40","1.89",,,,"1","4","Top",43.61,116.32,,,"680777",,,6.271604431663848,-118.91324964959273,-3.2678235244401987,-1.458815304612443,20.148264213607206,-26.68188398306641,"3.41","1.56","287","89.0","25","81.4","2416","5.8",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.72","0.109","0.127","1.25","1","1","1","3","33","1","Slider","2","3","3","2","3","2","3","2","Standard","Standard","155","-0.046","0.428"
"CH","2021-04-14","82.0","-2.23","5.9","Maeda, Kenta",608700,628317,"field_out","hit_into_play",,,,,"4","Kevin Plawecki flies out to left fielder Alex Kirilloff.","R","R","R","MIN","BOS","X","7","fly_ball","1","1",2021,"-1.07","0.92","-0.57","2.49",,,,"0","4","Top",52.69,117.25,,,"680777",,,5.80088868863167,-119.36236862615831,-2.958104994517499,-11.352629632969759,21.720068833888114,-22.98799635644846,"3.47","1.59","270","99.2","55","81.7","1432","5.9",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.58","0.014","0.019","0","1","0","0","3","32","3","Changeup","2","3","3","2","3","2","3","2","Standard","Standard","240","0.024","-0.241"
"CU","2021-04-14","75.4","-1.99","6.22","Maeda, Kenta",608700,628317,,"ball",,,,,"11","Kevin Plawecki flies out to left fielder Alex Kirilloff.","R","R","R","MIN","BOS","B",,,"0","1",2021,"0.58","-1.08","-1.37","4.73",,,,"0","4","Top",,,,,"680777",,,0.27642990028913694,-109.66927908251427,5.80309930677856,4.622600275309263,18.532217308300567,-42.07720572355934,"3.29","1.59",,,,"74.4","2409","5.5",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","55.02",,,,,,,,"32","2","Curveball","2","3","3","2","3","2","3","2","Standard","Standard","33","0","0.032"
"FF","2021-04-14","88.3","-2.33","5.91","Maeda, Kenta",608700,628317,,"called_strike",,,,,"2","Kevin Plawecki flies out to left fielder Alex Kirilloff.","R","R","R","MIN","BOS","S",,,"0","0",2021,"-0.67","1.49","0.06","3.24",,,,"0","4","Top",,,,,"680777",,,7.157620826251461,-128.51384576505137,-3.5300381736268798,-8.861122332823772,24.983906545823626,-15.044380457732318,"3.25","1.59",,,,"87.9","2141","5.9",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.62",,,,,,,,"32","1","4-Seam Fastball","2","3","3","2","3","2","3","2","Standard","Standard","218","0","-0.042"
"CH","2021-04-14","84.8","-2.33","5.79","Maeda, Kenta",614173,628317,"strikeout","swinging_strike_blocked",,,,,"13","Franchy Cordero strikes out swinging, catcher Ryan Jeffers to first baseman Willians Astudillo.","R","L","R","MIN","BOS","S","2",,"1","2",2021,"-1.18","0.02","-0.20","0.74",,,"592669","2","3","Top",,,,,"680777",,,7.267553976652592,-123.26601043028008,-5.509175106096872,-13.437130688407123,22.70197416600603,-31.10889951575434,"3.49","1.6",,,,"84.3","1621","5.9",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.63",,,"0","1","0","0",,"24","4","Changeup","0","3","3","0","3","0","3","0","Infield shift","Standard","247","0.012","-0.177"
"FF","2021-04-14","89.9","-2.51","5.77","Maeda, Kenta",614173,628317,,"ball",,,,,"11","Franchy Cordero strikes out swinging, catcher Ryan Jeffers to first baseman Willians Astudillo.","R","L","R","MIN","BOS","B",,,"0","2",2021,"-0.7","1.41","-1.59","3.65",,,"592669","2","3","Top",,,,,"680777",,,3.7282061271249036,-130.9288095798229,-2.25839200544204,-8.841164785446795,27.940206243885864,-15.667564853645333,"3.55","1.6",,,,"89.2","2332","5.8",634574,628317,"680777","553902","593871","650333","595375","666135","595909","596146","54.67",,,,,,,,"24","3","4-Seam Fastball","0","3","3","0","3","0","3","0","Infield shift","Standard","211","0","0.018"
